ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107422	E117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8914017644587593	0	0	0	0
107410	E106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8901408450704226	0	0	0	0
107299	C118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8898534997287032	0	0	0	0
107295	C114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8892094980462879	0	0	0	0
107430	E124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.887399700202804	0	0	0	0
107407	E103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8844175145764263	0	0	0	0
107418	E113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8837301812809002	0	0	0	0
107284	C104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8823871011819362	0	0	0	0
107412	E108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8821536489332479	0	0	0	0
107424	E119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8810481618057884	0	0	0	0
107282	C102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8809343194892219	0	0	0	0
107303	C121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8808574426622695	0	0	0	0
107298	C117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8808022420739183	0	0	0	0
107296	C115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8803255146002872	0	0	0	0
107406	E102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8802015113350127	0	0	0	0
107405	E101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8786771148887164	0	0	0	0
107428	E122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8777453345182176	0	0	0	0
107292	C111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8774359295695219	0	0	0	0
107404	E100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8753299492385788	0	0	0	0
107429	E123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8748871120509263	0	0	0	0
107444	E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874482945683868	0	0	0	0
107421	E116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8732307692307693	0	0	0	0
107426	E120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8730844793713163	0	0	0	0
107427	E121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8723299779032654	0	0	0	0
107423	E118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8700787401574803	0	0	0	0
107306	C124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869674870859921	0	0	0	0
107420	E115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8680054926192928	0	0	0	0
107305	C123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8652757980216838	0	0	0	0
