"2019-09-18";"06:26:49";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-18 04:49:02.099";"2019-09-18";"04:49:02";"SCHS";"";"Chart start ";""
"2019-09-18 04:49:02.100";"2019-09-18";"04:49:02";"FO";"1448";"310";"798";"0";"0.612";"0.0"
"2019-09-18 04:49:20.477";"2019-09-18";"04:49:20";"F";"1449";"540";"763";"60";"0.292";"7.4"
"2019-09-18 04:49:41.412";"2019-09-18";"04:49:41";"F";"1450";"495";"672";"85";"0.263";"9.4"
"2019-09-18 04:50:02.851";"2019-09-18";"04:50:02";"F";"1451";"451";"598";"120";"0.246";"12.4"
"2019-09-18 04:50:22.603";"2019-09-18";"04:50:22";"F";"1452";"446";"542";"198";"0.177";"14.7"
"2019-09-18 04:50:43.537";"2019-09-18";"04:50:43";"F";"1453";"429";"496";"295";"0.135";"16.7"
"2019-09-18 04:51:04.913";"2019-09-18";"04:51:04";"F";"1454";"385";"411";"475";"0.063";"12.6"
"2019-09-18 04:51:25.858";"2019-09-18";"04:51:25";"F";"1455";"341";"361";"700";"0.055";"16.2"
"2019-09-18 04:51:46.787";"2019-09-18";"04:51:46";"F";"1456";"322";"332";"1250";"0.030";"15.8"
"2019-09-18 05:04:44.728";"2019-09-18";"05:04:44";"FO";"1457";"402";"888";"0";"0.547";"0.0"
"2019-09-18 05:05:04.414";"2019-09-18";"05:05:04";"F";"1458";"531";"732";"60";"0.275";"6.9"
"2019-09-18 05:05:25.849";"2019-09-18";"05:05:25";"F";"1459";"429";"578";"85";"0.258";"9.2"
"2019-09-18 05:05:46.849";"2019-09-18";"05:05:46";"F";"1460";"370";"492";"120";"0.248";"12.5"
"2019-09-18 05:06:07.726";"2019-09-18";"05:06:07";"F";"1461";"348";"434";"198";"0.198";"16.5"
"2019-09-18 05:06:28.477";"2019-09-18";"05:06:28";"F";"1462";"325";"385";"295";"0.156";"19.3"
"2019-09-18 05:06:48.227";"2019-09-18";"05:06:48";"F";"1463";"306";"345";"475";"0.113";"22.5"
