"2019-09-21";"06:49:22";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-21 04:45:23.574";"2019-09-21";"04:45:23";"SCHS";"";"Chart start ";""
"2019-09-21 04:45:23.575";"2019-09-21";"04:45:23";"FO";"1996";"314";"868";"0";"0.638";"0.0"
"2019-09-21 04:45:43.996";"2019-09-21";"04:45:43";"F";"1997";"437";"696";"60";"0.372";"9.4"
"2019-09-21 04:46:05.064";"2019-09-21";"04:46:05";"F";"1998";"400";"613";"85";"0.347";"12.4"
"2019-09-21 04:46:26.367";"2019-09-21";"04:46:26";"F";"1999";"399";"568";"120";"0.298";"15.0"
"2019-09-21 04:46:46.812";"2019-09-21";"04:46:46";"F";"2000";"418";"530";"198";"0.211";"17.5"
"2019-09-21 04:47:07.948";"2019-09-21";"04:47:07";"F";"2001";"428";"511";"295";"0.162";"20.1"
"2019-09-21 04:47:29.212";"2019-09-21";"04:47:29";"F";"2002";"426";"475";"475";"0.103";"20.5"
"2019-09-21 04:47:50.467";"2019-09-21";"04:47:50";"F";"2003";"424";"457";"700";"0.072";"21.2"
"2019-09-21 04:48:11.587";"2019-09-21";"04:48:11";"F";"2004";"423";"436";"1250";"0.030";"15.8"
"2019-09-21 04:49:19.743";"2019-09-21";"04:49:19";"FO";"2005";"208";"538";"0";"0.613";"0.0"
"2019-09-21 04:49:40.070";"2019-09-21";"04:49:40";"F";"2006";"248";"426";"60";"0.418";"10.5"
"2019-09-21 04:50:00.732";"2019-09-21";"04:50:00";"F";"2007";"217";"368";"85";"0.410";"14.6"
"2019-09-21 04:50:22.440";"2019-09-21";"04:50:22";"F";"2008";"212";"343";"120";"0.382";"19.3"
"2019-09-21 04:50:43.724";"2019-09-21";"04:50:43";"F";"2009";"217";"318";"198";"0.318";"26.4"
"2019-09-21 04:51:04.574";"2019-09-21";"04:51:04";"F";"2010";"217";"293";"295";"0.259";"32.1"
"2019-09-21 04:51:26.988";"2019-09-21";"04:51:26";"F";"2011";"215";"263";"475";"0.183";"36.5"
"2019-09-21 04:51:47.420";"2019-09-21";"04:51:47";"F";"2012";"218";"249";"700";"0.124";"36.5"
"2019-09-21 04:52:08.727";"2019-09-21";"04:52:08";"F";"2013";"212";"229";"1250";"0.074";"38.9"
"2019-09-21 04:52:53.163";"2019-09-21";"04:52:53";"FO";"2014";"344";"1069";"0";"0.678";"0.0"
"2019-09-21 04:53:14.809";"2019-09-21";"04:53:14";"F";"2015";"564";"974";"60";"0.421";"10.6"
"2019-09-21 04:53:36.114";"2019-09-21";"04:53:36";"F";"2016";"521";"883";"85";"0.410";"14.6"
"2019-09-21 04:53:57.448";"2019-09-21";"04:53:57";"F";"2017";"523";"823";"120";"0.365";"18.4"
"2019-09-21 04:54:18.603";"2019-09-21";"04:54:18";"F";"2018";"545";"763";"198";"0.286";"23.8"
"2019-09-21 04:54:39.757";"2019-09-21";"04:54:39";"F";"2019";"564";"718";"295";"0.214";"26.5"
"2019-09-21 04:55:01.226";"2019-09-21";"04:55:01";"F";"2020";"580";"681";"475";"0.148";"29.5"
"2019-09-21 04:55:21.870";"2019-09-21";"04:55:21";"F";"2021";"585";"643";"700";"0.090";"26.5"
"2019-09-21 04:55:43.033";"2019-09-21";"04:55:43";"F";"2022";"575";"602";"1250";"0.045";"23.6"
"2019-09-21 04:56:16.963";"2019-09-21";"04:56:16";"FO";"2023";"235";"674";"0";"0.651";"0.0"
"2019-09-21 04:56:38.233";"2019-09-21";"04:56:38";"F";"2024";"394";"577";"60";"0.317";"8.0"
"2019-09-21 04:56:59.119";"2019-09-21";"04:56:59";"F";"2025";"313";"477";"85";"0.344";"12.3"
"2019-09-21 04:57:20.045";"2019-09-21";"04:57:20";"F";"2026";"287";"423";"120";"0.322";"16.2"
"2019-09-21 04:57:41.608";"2019-09-21";"04:57:41";"F";"2027";"288";"386";"198";"0.254";"21.1"
"2019-09-21 04:58:02.404";"2019-09-21";"04:58:02";"F";"2028";"289";"354";"295";"0.184";"22.8"
"2019-09-21 04:58:23.801";"2019-09-21";"04:58:23";"F";"2029";"287";"329";"475";"0.128";"25.5"
"2019-09-21 04:58:46.302";"2019-09-21";"04:58:46";"F";"2030";"283";"308";"700";"0.081";"23.8"
